Date,Open,High,Low,Close,Volume,Adj Close
1998-12-07,355.54,361.84,349.36,350.85,000,350.85
1998-11-30,359.74,359.83,346.14,355.54,000,355.54
1998-11-23,353.57,359.74,353.57,359.74,000,359.74
1998-11-16,345.67,355.30,343.29,353.57,000,353.57
1998-11-09,351.96,352.06,343.29,345.67,000,345.67
1998-11-02,334.05,351.96,334.05,351.96,000,351.96
1998-10-26,318.74,334.21,318.33,334.05,000,334.05
1998-10-19,310.31,323.38,309.64,318.74,000,318.74
1998-10-12,283.63,310.67,283.63,310.31,000,310.31
1998-10-05,299.39,299.39,268.66,283.63,000,283.63
1998-09-28,312.51,317.58,291.77,299.39,000,299.39
1998-09-21,307.86,318.76,300.83,312.51,000,312.51
1998-09-14,300.31,312.38,300.31,307.86,000,307.86
1998-09-08,291.65,305.46,290.62,300.31,000,300.31
1998-08-31,299.87,302.02,277.56,291.65,000,291.65
1998-08-24,327.18,330.38,297.79,299.87,000,299.87
1998-08-17,329.85,340.20,321.02,327.18,000,327.18
1998-08-10,340.84,340.86,325.43,329.85,000,329.85
1998-08-03,345.76,346.30,325.36,340.84,000,340.84
1998-07-27,355.12,355.12,345.76,345.76,000,345.76
1998-07-20,374.70,375.84,352.25,355.12,000,355.12
1998-07-13,368.86,374.92,367.77,374.70,000,374.70
1998-07-06,365.42,370.26,364.85,368.86,000,368.86
1998-06-29,357.49,366.32,357.49,365.42,000,365.42
1998-06-22,348.72,359.96,348.72,357.49,000,357.49
1998-06-15,352.01,354.45,344.92,348.72,000,348.72
1998-06-08,359.66,362.91,347.28,352.01,000,352.01
1998-06-01,358.15,359.73,353.57,359.66,000,359.66
1998-05-26,363.22,365.15,351.16,358.15,000,358.15
1998-05-18,368.52,370.00,362.95,363.22,000,363.22
1998-05-11,374.61,376.70,368.52,368.52,000,368.52
1998-05-04,378.12,380.24,370.57,374.61,000,374.61
1998-04-27,371.71,378.22,360.29,378.12,000,378.12
1998-04-20,377.56,381.31,371.20,371.71,000,371.71
1998-04-13,368.95,377.69,368.37,377.56,000,377.56
1998-04-06,374.11,376.33,365.96,368.95,000,368.95
1998-03-30,367.50,375.48,365.44,374.11,000,374.11
1998-03-23,365.51,371.44,365.13,367.50,000,367.50
1998-03-16,361.28,366.42,361.28,365.51,000,365.51
1998-03-09,355.35,362.98,353.56,361.28,000,361.28
1998-03-02,353.39,355.66,349.39,355.35,000,355.35
1998-02-23,346.85,354.75,345.50,353.39,000,353.39
1998-02-17,343.89,347.57,343.09,346.85,000,346.85
1998-02-09,339.39,344.36,338.05,343.89,000,343.89
1998-02-02,326.70,340.12,326.70,339.39,000,339.39
1998-01-26,319.94,329.40,317.83,326.70,000,326.70
1998-01-20,322.07,326.49,318.85,319.94,000,319.94
1998-01-12,312.80,322.81,307.17,322.07,000,322.07
1998-01-05,332.10,334.24,311.95,312.80,000,312.80
1997-12-29,320.29,335.06,320.29,332.10,000,332.10
1997-12-22,320.26,322.63,319.20,320.29,000,320.29
1997-12-15,320.22,325.44,314.33,320.26,000,320.26
1997-12-08,333.89,335.10,319.31,320.22,000,320.22
1997-12-01,321.25,333.89,321.25,333.89,000,333.89
1997-11-24,323.36,323.36,317.49,321.25,000,321.25
1997-11-17,316.71,325.54,316.71,323.36,000,323.36
1997-11-10,319.70,322.02,309.21,316.71,000,316.71
1997-11-03,316.89,327.29,316.89,319.70,000,319.70
1997-10-27,329.48,329.48,299.28,316.89,000,316.89
1997-10-20,330.11,339.42,328.82,329.48,000,329.48
1997-10-13,338.56,340.16,327.22,330.11,000,330.11
1997-10-06,336.00,340.40,336.00,338.56,000,338.56
1997-09-29,329.88,337.81,329.42,336.00,000,336.00
1997-09-22,332.54,334.34,328.46,329.88,000,329.88
1997-09-15,325.91,332.93,325.91,332.54,000,332.54
1997-09-08,321.99,325.91,319.42,325.91,000,325.91
1997-09-02,313.97,322.49,313.97,321.99,000,321.99
1997-08-25,311.74,314.69,311.04,313.97,000,313.97
1997-08-18,307.36,314.66,304.66,311.74,000,311.74
1997-08-11,311.89,313.21,307.35,307.36,000,307.36
1997-08-04,313.93,319.48,310.26,311.89,000,311.89
1997-07-28,307.76,314.76,306.41,313.93,000,313.93
1997-07-21,303.60,308.06,300.59,307.76,000,307.76
1997-07-14,299.91,306.54,299.91,303.60,000,303.60
1997-07-07,293.88,299.91,293.36,299.91,000,299.91
1997-06-30,287.52,293.88,286.65,293.88,000,293.88
1997-06-23,290.00,290.05,285.66,287.52,000,287.52
1997-06-16,287.65,291.51,287.03,290.00,000,290.00
